iter	Passed	Remaining
402	10175	15073
403	10196	15042
404	10219	15013
405	10242	14984
406	10265	14956
407	10288	14928
408	10312	14901
409	10334	14871
410	10358	14844
411	10381	14815
412	10405	14789
413	10428	14760
414	10450	14731
415	10474	14704
416	10494	14672
417	10516	14642
418	10539	14615
419	10561	14585
420	10586	14558
421	10609	14531
422	10630	14500
423	10652	14471
424	10675	14443
425	10697	14414
426	10719	14384
427	10743	14357
428	10765	14329
429	10788	14301
430	10809	14270
431	10831	14241
432	10853	14212
433	10875	14183
434	10898	14155
435	10921	14128
436	10943	14098
437	10964	14068
438	10987	14040
439	11008	14010
440	11030	13981
441	11054	13955
442	11075	13925
443	11097	13897
444	11120	13869
445	11141	13839
446	11163	13810
447	11185	13781
448	11206	13752
449	11227	13722
450	11252	13697
451	11275	13669
452	11298	13642
453	11321	13615
454	11344	13588
455	11366	13559
456	11387	13530
457	11410	13502
458	11432	13475
459	11454	13446
460	11476	13418
461	11500	13392
462	11523	13364
463	11545	13337
464	11569	13311
465	11618	13314
466	11663	13312
467	11697	13297
468	11732	13283
469	11763	13264
470	11793	13246
471	11825	13228
472	11855	13208
473	11883	13186
474	11909	13162
475	11932	13136
476	11957	13111
477	11983	13086
478	12007	13060
479	12032	13035
480	12058	13011
481	12083	12985
482	12108	12960
483	12131	12933
484	12154	12906
485	12176	12878
486	12199	12851
487	12224	12825
488	12247	12798
489	12270	12771
490	12294	12745
491	12317	12718
492	12341	12691
493	12364	12664
494	12388	12638
495	12410	12610
496	12434	12584
497	12457	12557
498	12480	12530
499	12503	12503
500	12527	12477
501	12549	12449
502	12571	12421
503	12595	12395
504	12618	12368
505	12639	12339
506	12661	12312
507	12685	12285
508	12708	12258
509	12730	12231
510	12754	12205
511	12775	12176
512	12797	12149
513	12820	12121
514	12842	12094
515	12864	12066
516	12898	12049
517	12930	12032
518	12960	12011
519	12988	11989
520	13017	11968
521	13045	11945
522	13069	11920
523	13095	11896
524	13121	11871
525	13145	11846
526	13168	11819
527	13192	11793
528	13218	11768
529	13243	11743
530	13267	11717
531	13289	11690
532	13311	11663
533	13333	11635
534	13356	11608
535	13379	11582
536	13402	11555
537	13424	11527
538	13446	11500
539	13469	11474
540	13493	11447
541	13516	11422
542	13539	11394
543	13561	11367
544	13584	11340
545	13606	11313
546	13626	11285
547	13648	11257
548	13671	11231
549	13692	11202
550	13714	11175
551	13735	11148
552	13757	11120
553	13780	11094
554	13801	11065
555	13822	11038
556	13845	11011
557	13867	10984
558	13890	10958
559	13912	10931
560	13933	10903
561	13956	10877
562	13978	10850
563	14001	10824
564	14026	10799
565	14050	10773
566	14071	10746
567	14093	10719
568	14117	10693
569	14138	10665
570	14160	10639
571	14184	10613
572	14228	10603
573	14269	10590
574	14303	10571
575	14339	10555
576	14368	10533
577	14397	10511
578	14426	10490
579	14453	10466
580	14477	10440
581	14501	10415
582	14526	10390
583	14551	10365
584	14574	10339
585	14599	10314
586	14622	10288
587	14647	10263
588	14668	10235
589	14690	10208
590	14713	10182
591	14735	10155
592	14756	10128
593	14778	10101
