iter	MultiClass
0	1.026460756
1	0.9636312922
2	0.9045169011
3	0.855420968
4	0.8083197251
5	0.7707813108
6	0.72894302
7	0.6934887278
8	0.6602127744
9	0.6290140054
10	0.5991860578
11	0.5731407149
12	0.5497739515
13	0.5259388444
14	0.5032750183
15	0.4821911592
16	0.462102886
17	0.4436753035
18	0.4263931665
19	0.410047522
20	0.3939442987
21	0.3803969246
22	0.3669351638
23	0.3527253657
24	0.3399499656
25	0.3276385841
26	0.315967085
27	0.3050993718
28	0.2944216998
29	0.2843134874
30	0.275047686
31	0.2660486707
32	0.2577279278
33	0.2501141519
34	0.2424251976
35	0.2351562895
36	0.228636737
37	0.2226630807
38	0.2158264432
39	0.2095812388
40	0.2044349877
41	0.1989725298
42	0.193908762
43	0.1890107103
44	0.1839043619
45	0.1789261902
46	0.1741246138
47	0.1690410848
48	0.1649700521
49	0.1613173831
50	0.1580044649
51	0.1544168766
52	0.1512824253
53	0.1476382362
54	0.1445782543
55	0.1415881123
56	0.13886943
57	0.1356629964
58	0.1332728566
59	0.130834159
60	0.1283694091
61	0.1257922805
62	0.1238962562
63	0.1216759218
64	0.1194571198
65	0.1170978385
66	0.1150391806
67	0.1128647767
68	0.1112705294
69	0.1099018774
70	0.1079886335
71	0.1065516945
72	0.1048776883
73	0.1031584446
74	0.1017207105
75	0.1000641408
76	0.09815022969
77	0.09695068709
78	0.09553614106
79	0.09417253312
80	0.09285924138
81	0.09192332474
82	0.09058364685
83	0.08936481431
84	0.08829379866
85	0.08730056218
86	0.0861179195
87	0.08535133872
88	0.08400196437
89	0.08307656429
90	0.0821947136
91	0.08140617235
92	0.08048801699
93	0.07935411085
94	0.07874025605
95	0.077832102
96	0.07706134641
97	0.0761752284
98	0.07572882492
99	0.07517355665
100	0.07446416092
101	0.07371180408
102	0.07283568098
103	0.07206497071
104	0.07119768163
105	0.07062840096
106	0.07021145261
107	0.06951112613
108	0.06868835959
109	0.068150041
110	0.0675883985
111	0.06697410234
112	0.06641939221
113	0.06581716023
114	0.06530015574
115	0.06477020048
116	0.06431573476
117	0.06382291347
118	0.06332219377
119	0.06278828334
120	0.06219492752
121	0.06180647309
122	0.06132655078
123	0.06099879836
124	0.06065448672
125	0.06017704688
126	0.05997957169
127	0.0596305701
128	0.05928697866
129	0.05903696176
130	0.05850310832
131	0.0581617736
132	0.05779730053
133	0.05748589128
134	0.05706561099
135	0.05678366936
136	0.05653939098
137	0.05619955515
138	0.05561926791
139	0.05528625637
140	0.05499870463
141	0.05472624757
142	0.0543914515
143	0.05406670568
144	0.05366403829
145	0.05308520484
146	0.05280936902
147	0.05261107431
148	0.0523015166
149	0.05211350464
150	0.05186518094
151	0.05151967213
152	0.05116481869
153	0.05065245118
154	0.05026643261
155	0.05004533631
156	0.04972843877
157	0.04943080709
158	0.04919782169
159	0.0488302813
160	0.04847419475
161	0.04830571641
162	0.04797629352
163	0.04776829665
164	0.04739196069
165	0.04723148395
166	0.04696022812
167	0.0467070206
168	0.0463923998
169	0.04613641986
170	0.04597725575
171	0.04585273359
172	0.0456898321
173	0.0454979604
174	0.04534635093
175	0.04501605894
176	0.04487000034
177	0.04449605822
178	0.04428708862
179	0.04398074033
180	0.04389133887
181	0.04367293188
182	0.0434260168
183	0.04316084982
184	0.04297728831
185	0.04286664445
186	0.04244529265
187	0.04232189627
188	0.04209550743
189	0.04186482098
190	0.04172874525
191	0.0415628955
192	0.04131158589
193	0.04119084818
194	0.04102095399
195	0.04079675943
196	0.04060903825
197	0.04044750852
198	0.04031959733
199	0.04025386185
200	0.0400896788
201	0.03991215766
202	0.03970341379
203	0.03925788907
204	0.03904407865
205	0.03890356035
206	0.03868500312
207	0.03856038439
208	0.03846490166
209	0.03830682003
210	0.03803058598
211	0.03786263898
212	0.03762529027
213	0.03748863877
214	0.03733285354
215	0.0372250627
216	0.03706099209
217	0.03691798639
218	0.03674139286
219	0.03667236827
220	0.03649452357
221	0.03636265388
222	0.03618235835
223	0.03609051467
224	0.03590333374
225	0.03575252343
226	0.03554007812
227	0.0353847997
228	0.03522729154
229	0.03507677408
230	0.03496386784
231	0.03474100926
232	0.03463641739
233	0.03456720794
234	0.03448553918
235	0.0342298756
236	0.03407926293
237	0.03398346856
238	0.03377113276
239	0.03362008611
240	0.03353035231
241	0.03344877699
242	0.03335644926
243	0.03325808563
244	0.03304725002
245	0.03282797208
246	0.03277203582
247	0.0327081382
248	0.03257571659
249	0.03243558606
250	0.03239944841
251	0.03215818976
252	0.0320824974
253	0.03198839106
254	0.03191521674
255	0.03185032124
256	0.03169377037
257	0.03163986819
258	0.03153082485
259	0.03149317214
260	0.03139566153
261	0.03124117804
262	0.03114712034
263	0.03101802687
264	0.03080647516
265	0.03073562598
266	0.03067452401
267	0.03059792313
268	0.03052572197
269	0.03047151542
270	0.0303332804
271	0.03027851309
272	0.03017841223
273	0.03011161161
274	0.02998276749
275	0.02990505087
276	0.02977080837
277	0.02964249918
278	0.02952271164
279	0.02943533709
280	0.02921788047
281	0.02913543442
282	0.02904727575
283	0.02899459326
284	0.02886196598
285	0.02879713011
286	0.02875381566
287	0.02866599459
288	0.02858710016
289	0.02854776992
290	0.0284684369
291	0.028406502
292	0.0283467772
293	0.0282913907
294	0.02817931035
295	0.02805561581
296	0.02799817699
297	0.02790702906
298	0.02785017358
299	0.02778971104
300	0.0276987104
301	0.0276599411
302	0.02759051871
303	0.02754521629
304	0.02749885155
305	0.02740823096
306	0.02726684897
307	0.02716949712
308	0.02707779357
309	0.02697722849
310	0.0268870217
311	0.0267904026
312	0.02674631827
313	0.02670337123
314	0.02665073096
